num_sim,regression_frac,bootstrap_reg_data,iav_normal_correction,qmc,repetition,seed,time,AEP mean,AEP stdev
128,0.5,False,False,False,2,349603,1.7095473920000002,12.262603528943151,0.3554586504991559
128,0.5,False,False,False,1,167875,1.713104136,12.401995752052944,0.3712945656339797
128,0.5,True,False,False,2,419654,1.7134850950000002,12.331330953579807,0.4716499393744283
128,0.5,False,False,False,0,523106,1.7153567520000008,12.381385335807124,0.3450913045720399
128,0.5,True,False,False,1,73475,1.7219192990000005,12.318972124453051,0.4707950261397564
128,0.5,True,False,False,0,71800,1.7229553099999988,12.316418509222752,0.5140643057292438
128,0.5,False,False,False,4,561068,1.6021845590000012,12.337349987559678,0.3509375662521896
128,0.5,True,False,False,4,281812,1.6187699460000005,12.350953511884509,0.508348185478989
128,0.5,True,False,False,5,829888,1.61125586,12.296252531836357,0.47146565672708224
128,0.5,False,False,False,3,92719,1.630258843,12.360260472568555,0.3679000138377616
128,0.5,False,False,False,5,509149,1.6226819699999986,12.365246714820499,0.3570407981549368
128,0.5,True,False,False,3,253782,1.6389201090000007,12.28790665519404,0.5348064603374393
128,0.5,False,False,False,6,654684,1.6126086080000004,12.35807269125263,0.3569646265979108
128,0.5,True,False,False,6,792662,1.6087839729999995,12.346022269926026,0.4831422317738109
128,0.5,False,False,False,7,824154,1.6150781070000004,12.30579268564205,0.3284011166440384
128,0.5,True,False,False,7,718892,1.6110843920000004,12.41233711388146,0.4343024569720142
128,0.5,False,False,False,8,779822,1.6142300719999998,12.324765877676192,0.360820111358882
128,0.5,True,False,False,8,457708,1.6179675919999994,12.25406229036577,0.5309895222623995
128,0.5,False,False,False,9,667782,1.680472172,12.3174521622508,0.35698793736060186
128,0.5,False,False,False,10,942980,1.6721200070000002,12.315458556125819,0.3765469807507959
128,0.5,True,False,False,9,219661,1.683142737999999,12.424273958698427,0.48543053519891494
128,0.5,True,False,False,10,372861,1.6850841360000004,12.290008678034678,0.4870998443726609
128,0.5,False,False,False,11,224069,1.6876532789999992,12.299020650333745,0.3665136603938666
128,0.5,True,False,False,11,576960,1.6859741659999994,12.322413747659885,0.5270608626138511
128,0.5,False,False,False,12,886648,1.74915294,12.29978283771715,0.39514251764926256
128,0.5,True,False,False,12,663728,1.7624565309999998,12.414364674441899,0.4162668302254899
128,0.5,False,False,False,13,655098,1.7707527150000004,12.325752926865217,0.3368617599198802
