num_sim,regression_frac,bootstrap_reg_data,iav_normal_correction,qmc,repetition,seed,time,AEP mean,AEP stdev
2,1.0,False,False,False,2,909015,0.29440348299999997,12.188063548019116,0.02222739223705916
2,1.0,False,False,False,4,55881,0.29445702900000015,12.33839672503424,0.10723236592599655
2,1.0,False,False,False,1,516795,0.29524465199999916,12.278504006431456,0.3702326588483294
2,1.0,False,False,False,3,469035,0.29592377500000033,12.421545429733055,0.03125580236458012
2,1.0,False,False,False,0,790685,0.30327157900000046,12.19733272511863,0.01059166401798211
2,1.0,False,False,True,0,801769,0.34072644100000105,12.328707189674688,0.1315271867426857
2,1.0,False,False,True,2,406699,0.36997212800000057,12.383853327067419,0.39893461523081125
2,1.0,False,False,True,1,97976,0.3721699990000005,12.201353738425865,0.2626290218013714
2,1.0,False,False,True,4,684669,0.3748861380000008,12.376245185240975,0.0019022122936721982
2,1.0,False,False,True,3,672117,0.3802104719999999,12.28147699782565,0.3658465576355261
4,1.0,False,False,False,0,539760,0.41401338800000076,12.260067088296937,0.09616776535147038
4,1.0,False,False,False,1,97469,0.3984501869999999,12.310258380285484,0.17147780458379927
4,1.0,False,False,False,2,963219,0.25600576799999963,12.371240979321133,0.06908358154363474
4,1.0,False,False,False,4,321287,0.2615075330000014,12.16964741659968,0.2472876807244472
4,1.0,False,False,False,3,114435,0.26707456799999996,12.385157318121154,0.1325009489705403
4,1.0,False,False,True,0,53222,0.26321911600000014,12.34872629788733,0.21595901787773403
4,1.0,False,False,True,1,917192,0.28561775900000086,12.26895187059734,0.20011287954930068
4,1.0,False,False,True,2,387054,0.2652801569999994,12.32433577288652,0.1768584872026219
4,1.0,False,False,True,3,898045,0.2797776299999999,12.352470859751229,0.11665263653029805
4,1.0,False,False,True,4,665762,0.2910480299999989,12.348305565911797,0.20867794771428674
8,1.0,False,False,False,1,448778,0.3796812099999993,12.34350943604896,0.16691945398371166
8,1.0,False,False,False,0,581259,0.44554430200000006,12.227088878302578,0.1796425085102722
8,1.0,False,False,False,2,268818,0.4368788919999993,12.213905114092821,0.15492761857156645
8,1.0,False,False,False,3,996389,0.4653135259999992,12.364022417264826,0.18628730303386712
8,1.0,False,False,False,4,890811,0.48906263899999836,12.351618777398938,0.2057164501933411
8,1.0,False,False,True,0,315695,0.49701491199999914,12.349633789832781,0.15701574148740025
8,1.0,False,False,True,1,879584,0.4606705600000005,12.36384519628191,0.20301936286201103
8,1.0,False,False,True,2,397279,0.4437345100000005,12.335723756473884,0.17085505768691778
8,1.0,False,False,True,4,843045,0.40774924099999943,12.299808860760189,0.19996167664158568
8,1.0,False,False,True,3,88737,0.4441738750000006,12.299240055754819,0.15683034629803402
16,1.0,False,False,False,0,795312,0.5895384379999999,12.309871057325752,0.25978622402693113
16,1.0,False,False,False,1,194585,0.5683070109999999,12.370272097473391,0.2364891672645903
16,1.0,False,False,False,3,392296,0.5673597519999998,12.349118908022257,0.18898830326644245
16,1.0,False,False,False,2,473622,0.6396662580000001,12.26752569123027,0.11243450317526435
16,1.0,False,False,False,4,860678,0.5859017649999991,12.384630229584884,0.20030658722445407
16,1.0,False,False,True,0,287573,0.6507826889999997,12.34082392231605,0.18887624745589776
16,1.0,False,False,True,1,512364,0.6232986710000006,12.330630735721254,0.16391918999558347
16,1.0,False,False,True,2,416417,0.6283611700000016,12.33426293513416,0.18872144435174854
16,1.0,False,False,True,3,692801,0.6097260019999986,12.32096867039135,0.17956915085494993
16,1.0,False,False,True,4,898664,0.6011106890000004,12.32968717532903,0.16657757901745718
32,1.0,False,False,False,0,514925,0.8381889820000001,12.342677710788065,0.17407942120786798
32,1.0,False,False,False,1,719882,0.8233015970000004,12.345710411301624,0.17088241133604942
32,1.0,False,False,False,2,631662,0.7869822070000012,12.28411444885552,0.1631296058164385
32,1.0,False,False,False,3,320138,0.836478596000001,12.359375990417313,0.2018363585866629
32,1.0,False,False,False,4,965436,0.8280800510000006,12.331057841636877,0.14409833323508162
32,1.0,False,False,True,0,785391,0.8666028009999991,12.334916022689017,0.19864510192033602
32,1.0,False,False,True,1,734021,0.9932890249999993,12.335624090706666,0.18614235284318198
32,1.0,False,False,True,2,981014,1.001492572,12.32879323879789,0.18459834727245178
32,1.0,False,False,True,3,670358,0.9816857310000007,12.332200997224,0.19100028239944744
32,1.0,False,False,True,4,332787,1.0170030160000003,12.337142433194947,0.1885588074440201
64,1.0,False,False,False,0,812428,1.4133289359999992,12.38055879368026,0.19370982126374228
64,1.0,False,False,False,1,89447,1.4814836630000006,12.311487718523805,0.16699887061424779
64,1.0,False,False,False,2,403473,1.3942308260000011,12.315781829063202,0.20079055188730924
64,1.0,False,False,False,3,792172,1.3653113019999985,12.359248351455799,0.18276618554685442
64,1.0,False,False,False,4,408772,1.3439835020000004,12.381398969573791,0.21394139776918247
64,1.0,False,False,True,0,216305,1.3107705119999995,12.331620132860278,0.17740558815413307
64,1.0,False,False,True,1,411208,1.4387511679999996,12.333104598150195,0.17862397223732102
64,1.0,False,False,True,2,486079,1.4742932049999986,12.334817097900153,0.1855291264746091
64,1.0,False,False,True,3,979796,1.5113977740000006,12.332714448800807,0.18225074201986946
64,1.0,False,False,True,4,325148,1.5141687320000017,12.336974745296882,0.18075861032392113
128,1.0,False,False,False,0,695634,2.2241684310000007,12.339674529346295,0.16404020143956832
128,1.0,False,False,False,1,232657,2.2212278140000024,12.309805694655005,0.17116540612645048
128,1.0,False,False,False,2,605452,1.9993545850000007,12.31321594140887,0.18129977126511182
128,1.0,False,False,False,3,633259,1.9389618710000018,12.31498292277264,0.18905162001993575
128,1.0,False,False,False,4,633108,1.8803409979999994,12.346904203823598,0.17864008762323869
128,1.0,False,False,True,0,616420,1.8643552229999987,12.332884466715253,0.1823549652061388
128,1.0,False,False,True,1,949593,2.0432783609999987,12.33213100846722,0.1873452967011483
128,1.0,False,False,True,2,785413,2.048821422000003,12.333217375711763,0.1824914096981674
128,1.0,False,False,True,3,634680,2.0576307000000007,12.331846611058117,0.18663103496728933
128,1.0,False,False,True,4,841880,2.0815601910000012,12.33365623682371,0.18352576739902324
256,1.0,False,False,False,0,385258,3.8861123940000013,12.339050034909354,0.19983729538468953
256,1.0,False,False,False,1,691550,3.892757630000002,12.314959203230801,0.1769877952820665
256,1.0,False,False,False,2,388156,3.958932719,12.325320350611701,0.1869331130038429
256,1.0,False,False,False,3,828959,3.955444521999997,12.356771868343637,0.1708589509662366
256,1.0,False,False,False,4,915050,4.090152923999998,12.3273674715193,0.17721480559550318
256,1.0,False,False,True,0,178110,4.196157094999997,12.334436068666738,0.18297765429944243
256,1.0,False,False,True,2,205526,3.882769993,12.334572002560927,0.1805627735957779
256,1.0,False,False,True,1,931857,3.9525377140000018,12.333965580903456,0.18278688377639318
256,1.0,False,False,True,3,466911,3.693733066,12.333395973169262,0.1842762913478872
256,1.0,False,False,True,4,566523,3.7020974719999984,12.333865441990758,0.1833540003199639
